year,sex,n,n_miss,age_mean,age_sd,cod
2011,M,24947,4,42.887182776730945,20.37333822537674,car_accident
2012,All,36415,5,43.82804174677286,21.234244534819535,car_accident
2012,F,10743,1,45.69614596909328,23.3813210998644,car_accident
2012,M,25672,4,43.04624435094281,20.217614658819624,car_accident
2013,All,35369,4,44.0832461473208,21.23200710889439,car_accident
2013,F,10321,2,45.65868785735052,23.248920378432693,car_accident
2013,M,25048,2,43.43416114349597,20.30792593861673,car_accident
2014,All,35398,7,44.21790850781272,21.32551405854469,car_accident
2014,F,10240,1,46.044340267604255,23.279093234583435,car_accident
2014,M,25158,6,43.474395674300254,20.430712172445894,car_accident
2015,All,37757,5,44.323585505403685,21.193916344005817,car_accident
2015,F,10862,0,45.69278217639477,23.098731683941974,car_accident
2015,M,26895,5,43.77050948307921,20.348394383937187,car_accident
2016,All,40327,3,44.42924809046722,21.170446665997673,car_accident
2016,F,11685,1,45.31016775077028,23.02482936844408,car_accident
2016,M,28642,2,44.069867318435755,20.354974410619175,car_accident
